num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_cross.started,exp1_trial_key.started,exp1_trial_cross.stopped,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_cross.started,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_cross.stopped,exp2_trial_cross.started,exp2_trial_key.started,exp2_trial_cross.stopped,exp2_trial_sound.started,participant,session,date,expName,psychopyVersion,frameRate,
tr2,lt,tr,en,na,../practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,../image/bag.png,../image/car.png,car,rshift,,,,,,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,21.240704583004117,21.46725366602186,21.48381495801732,,['lshift'],[0.10969004104845226],,,,,,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
tr3,lt,tr,sp,na,../practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,../image/dog.png,../image/grandma.png,dog,lshift,,,,,,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,21.616899957996793,21.831488083000295,21.864958166028373,,['rshift'],[0.20498550008051097],,,,,,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
tr4,lt,tr,sp,na,../practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,../image/shirt.png,../image/bag.png,bag,rshift,,,,,,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,22.078660083003342,22.29738958296366,22.31601870805025,,['lshift'],[0.11808729206677526],,,,,,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
tr5,lt,tr,se,na,../practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,../image/donut.png,../image/cups.png,donut,lshift,,,,,,,1,0,1,0,0,4,4,4,,,,,,,,,,,,,22.447730166022666,22.664783415966667,22.684034583042376,,['rshift'],[0.12004758301191032],,,,,,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
tr6,lt,tr,se,na,../practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,../image/chair.png,../image/sweater.png,sweater,rshift,,,,,,,1,0,1,0,0,5,5,5,,,,,,,,,,,,,22.823813416063786,23.03561070805881,23.066732999985106,,['lshift'],[0.092612124979496],,,,,,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
tr7,lt,tr,es,na,../practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,../image/shirt.png,../image/wallet.png,shirt,lshift,,,,,,,1,0,1,0,0,6,6,6,,,,,,,,,,,,,23.160045749973506,23.38157533307094,23.403432541061193,,['rshift'],[0.10103366698604077],,,,,,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
tr8,lt,tr,es,na,../practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,../image/key.png,../image/flipflops.png,flipflops,rshift,,,,,,,1,0,1,0,0,7,7,7,,,,,,,,,,,,,23.513681665994227,23.731288166018203,23.75276833306998,,['lshift'],[0.09014224994461983],,,,,,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
64.0,l1,f,en,na,../audio/064.wav,,l1_f_en_na_064,,,,,,,../image/wallet.png,../image/key.png,wallet,lshift,1,wallet,key,wallet,key,None,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,26.336464083055034,26.5140087910695,lshift,1,-0.37522520893253386,,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
78.0,l1,f,se,na,../audio/078.wav,,l1_f_se_na_078,,,,,,,../image/airpods.png,../image/joycons.png,airpods,lshift,1,airpods,joycons,airpods,joycons,None,,,,,,,,,0,1,1,17,,,,,,,,,,,,,,,26.53666729107499,26.750893041025847,lshift,1,0.10415091598406434,26.784071500063874,,,,,748226,001,2023-08-16_12h00.01.038,exp_g1,2022.2.5,None,
