participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_key.rt,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_retrial.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,083,l1,f,se,na,audio/083.wav,,l1_f_se_na_083,,,,,,,image/donut.png,image/burger.png,burger,rshift,rshift,1,0.6719,0,0,0,22,1,1,burger,donut,donut,burger,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,092,l1,f,sp,na,audio/092.wav,,l1_f_sp_na_092,,,,,,,image/armchair.png,image/dog.png,armchair,lshift,rshift,0,0.2812,0,1,1,31,1,1,armchair,dog,armchair,dog,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,085,l1,f,se,na,audio/085.wav,,l1_f_se_na_085,,,,,,,image/loafers.png,image/sneakers.png,sneakers,rshift,lshift,0,0.3891,0,2,2,24,1,1,sneakers,loafers,loafers,sneakers,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,017,l1,t,es,na,audio/017.wav,,l1_t_es_na_017,,,,,,,image/jug.png,image/cat.png,jug,lshift,rshift,0,0.1148,0,3,3,41,1,1,jug,cat,jug,cat,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,014,l1,t,es,na,audio/014.wav,,l1_t_es_na_014,,,,,,,image/book.png,image/key.png,key,rshift,lshift,0,0.2355,0,4,4,38,1,1,key,book,book,key,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,015,l1,t,es,na,audio/015.wav,,l1_t_es_na_015,,,,,,,image/glasses.png,image/jacket.png,glasses,lshift,rshift,0,0.414,0,5,5,39,1,1,glasses,jacket,glasses,jacket,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,089,l1,f,sp,na,audio/089.wav,,l1_f_sp_na_089,,,,,,,image/bed.png,image/wallet.png,wallet,rshift,lshift,0,1.8606,0,6,6,28,1,1,wallet,bed,bed,wallet,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,081,l1,f,se,na,audio/081.wav,,l1_f_se_na_081,,,,,,,image/boxers.png,image/sweatpants.png,sweatpants,rshift,rshift,1,2.3647,0,7,7,20,1,1,sweatpants,boxers,boxers,sweatpants,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,019,l1,t,es,na,audio/019.wav,,l1_t_es_na_019,,,,,,,image/boy.png,image/dog.png,boy,lshift,lshift,1,2.7121,0,8,8,43,1,1,boy,dog,boy,dog,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,012,l1,t,es,na,audio/012.wav,,l1_t_es_na_012,,,,,,,image/newspaper.png,image/book.png,book,rshift,rshift,1,2.4517,0,9,9,36,1,1,book,newspaper,newspaper,book,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,095,l1,f,sp,na,audio/095.wav,,l1_f_sp_na_095,,,,,,,image/socks.png,image/key.png,key,rshift,rshift,1,1.9112,0,10,10,34,1,1,key,socks,socks,key,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,090,l1,f,sp,na,audio/090.wav,,l1_f_sp_na_090,,,,,,,image/bag.png,image/bottle.png,bag,lshift,lshift,1,0.4825,0,11,11,29,1,1,bag,bottle,bag,bottle,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,094,l1,f,sp,na,audio/094.wav,,l1_f_sp_na_094,,,,,,,image/beer.png,image/horchata.png,beer,lshift,rshift,0,0.19,0,12,12,33,1,1,beer,horchata,beer,horchata,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,084,l1,f,se,na,audio/084.wav,,l1_f_se_na_084,,,,,,,image/penthouse.png,image/rocket.png,penthouse,lshift,lshift,1,0.081,0,13,13,23,1,1,penthouse,rocket,penthouse,rocket,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,018,l1,t,es,na,audio/018.wav,,l1_t_es_na_018,,,,,,,image/cups.png,image/napkins.png,napkins,rshift,rshift,1,0.1124,0,14,14,42,1,1,napkins,cups,cups,napkins,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,011,l1,t,es,na,audio/011.wav,,l1_t_es_na_011,,,,,,,image/armchair.png,image/bed.png,armchair,lshift,lshift,1,0.0967,0,15,15,35,1,1,armchair,bed,armchair,bed,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,074,l1,f,en,na,audio/074.wav,,l1_f_en_na_074,,,,,,,image/boy.png,image/woman.png,boy,lshift,rshift,0,0.1127,0,16,16,13,1,1,boy,woman,boy,woman,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,087,l1,f,sp,na,audio/087.wav,,l1_f_sp_na_087,,,,,,,image/desk.png,image/bed.png,bed,rshift,lshift,0,0.1119,0,17,17,26,1,1,bed,desk,desk,bed,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,064,l1,f,en,na,audio/064.wav,,l1_f_en_na_064,,,,,,,image/wallet.png,image/key.png,wallet,lshift,rshift,0,0.1429,0,18,18,3,1,1,wallet,key,wallet,key,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,086,l1,f,sp,na,audio/086.wav,,l1_f_sp_na_086,,,,,,,image/plates.png,image/glasses.png,plates,lshift,lshift,1,0.0694,0,19,19,25,1,1,plates,glasses,plates,glasses,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,076,l1,f,se,na,audio/076.wav,,l1_f_se_na_076,,,,,,,image/hotdog.png,image/burger.png,hotdog,lshift,rshift,0,0.1147,0,20,20,15,1,1,hotdog,burger,hotdog,burger,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,068,l1,f,en,na,audio/068.wav,,l1_f_en_na_068,,,,,,,image/socks.png,image/book.png,socks,lshift,lshift,1,0.0787,0,21,21,7,1,1,socks,book,socks,book,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,061,l1,f,en,na,audio/061.wav,,l1_f_en_na_061,,,,,,,image/cat.png,image/dog.png,dog,rshift,rshift,1,0.1298,0,22,22,0,1,1,dog,cat,cat,dog,../image/,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,138,l1,t,es,f0u,audio/138.wav,,l1_t_es_f0u_138,,,,,,,image/pants.png,image/shirt.png,shirt,rshift,lshift,0,0.1109,0,23,23,52,1,1,shirt,pants,pants,shirt,,,,,,,,,,,,,,,,
new_stim_1,001,2023-10-11_20h59.03.187,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,082,l1,f,se,na,audio/082.wav,,l1_f_se_na_082,,,,,,,image/mickeymouse.png,image/spongebob.png,mickeymouse,lshift,rshift,0,0.1143,0,24,24,21,1,1,mickeymouse,spongebob,mickeymouse,spongebob,,,,,,,,,,,,,,,,
