participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_key.rt,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_trial_loop.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,119,l2,f,se,na,audio/119.wav,,l2_f_se_na_119,,,,,,,image/penthouse.png,image/rocket.png,penthouse,lshift,lshift,1,2.4118,0,34,34,23,1,1,penthouse,rocket,penthouse,rocket,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,155,l1,t,es,f0c,audio/155.wav,,l1_t_es_f0c_155,,,,,,,image/flipflops.png,image/flower.png,flipflops,lshift,lshift,1,2.1585,0,35,35,49,1,1,flipflops,flower,flipflops,flower,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,122,l2,f,sp,na,audio/122.wav,,l2_f_sp_na_122,,,,,,,image/desk.png,image/chair.png,chair,rshift,rshift,1,2.2421,0,36,36,26,1,1,chair,desk,desk,chair,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,029,l2,t,es,na,audio/029.wav,,l2_t_es_na_029,,,,,,,image/armchair.png,image/ring.png,armchair,lshift,rshift,0,3.689,0,37,37,43,1,1,armchair,ring,armchair,ring,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,125,l2,f,sp,na,audio/125.wav,,l2_f_sp_na_125,,,,,,,image/desk.png,image/bottle.png,desk,lshift,lshift,1,2.7234,0,38,38,29,1,1,desk,bottle,desk,bottle,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,023,l2,t,es,na,audio/023.wav,,l2_t_es_na_023,,,,,,,image/wine.png,image/cellphone.png,wine,lshift,lshift,1,2.3297,0,39,39,37,1,1,wine,cellphone,wine,cellphone,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,120,l2,f,se,na,audio/120.wav,,l2_f_se_na_120,,,,,,,image/glasses.png,image/joycons.png,joycons,rshift,rshift,1,2.5855,0,40,40,24,1,1,joycons,glasses,glasses,joycons,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,030,l2,t,es,na,audio/030.wav,,l2_t_es_na_030,,,,,,,image/flipflops.png,image/boy.png,boy,rshift,rshift,1,2.4113,0,41,41,44,1,1,boy,flipflops,flipflops,boy,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,160,l1,t,es,f0c,audio/160.wav,,l1_t_es_f0c_160,,,,,,,image/ring.png,image/bracelet.png,bracelet,rshift,rshift,1,2.6138,0,42,42,54,1,1,bracelet,ring,ring,bracelet,,,,,,,,,,,,,,,,
033,001,2023-10-12_11h56.31.376,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,096,l2,f,en,na,audio/096.wav,,l2_f_en_na_096,,,,,,,image/woman.png,image/cat.png,cat,rshift,rshift,1,2.0972,0,43,43,0,1,1,cat,woman,woman,cat,../image/,,,,,,,,,,,,,,,
