participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_key.rt,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_retrial.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,124,l2,f,sp,na,audio/124.wav,,l2_f_sp_na_124,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""rshift""]",[1.3889000000357328],0,12,12,28,1,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,27,l2,t,es,na,audio/027.wav,,l2_t_es_na_027,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.3684999999999832,2.000400000035768]",0,13,13,41,1,1
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,109,l2,f,en,na,audio/109.wav,,l2_f_en_na_109,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift""]",[1.1911000000238232],0,14,14,13,1,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,25,l2,t,es,na,audio/025.wav,,l2_t_es_na_025,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.289800000011951,2.1524000000357546]",0,15,15,39,1,1
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,98,l2,f,en,na,audio/098.wav,,l2_f_en_na_098,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift""]",[1.2858000000119318],0,16,16,2,1,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,100,l2,f,en,na,audio/100.wav,,l2_f_en_na_100,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift""]",[1.289000000000044],0,17,17,4,1,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,126,l2,f,sp,na,audio/126.wav,,l2_f_sp_na_126,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""rshift""]",[1.1846999999880836],0,18,18,30,1,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,120,l2,f,se,na,audio/120.wav,,l2_f_se_na_120,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""rshift"",""lshift""]","[1.333500000000015,2.46759999996425]",0,19,19,24,1,1
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,24,l2,t,es,na,audio/024.wav,,l2_t_es_na_024,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.356099999964215,2.206599999964226]",0,20,20,38,1,1
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,168,l2,t,es,f0c,audio/168.wav,,l2_t_es_f0c_168,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.507299999952295,2.091799999952343]",0,21,21,52,1,1
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,162,l2,t,es,f0c,audio/162.wav,,l2_t_es_f0c_162,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.475500000000011,2.10269999998809]",0,22,22,46,1,1
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,107,l2,f,en,na,audio/107.wav,,l2_f_en_na_107,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift""]",[1.218999999999994],0,23,23,11,1,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,125,l2,f,sp,na,audio/125.wav,,l2_f_sp_na_125,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.4191000000238887,2.5371000000238837]",0,24,24,29,1,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,118,l2,f,se,na,audio/118.wav,,l2_f_se_na_118,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""rshift""]",[1.9293000000118923],0,25,25,22,1,1
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,165,l2,t,es,f0c,audio/165.wav,,l2_t_es_f0c_165,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.3373000000119077,2.1348999999761418]",0,26,26,49,1,1
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,163,l2,t,es,f0c,audio/163.wav,,l2_t_es_f0c_163,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.485099999964234,3.0324999999999704]",0,27,27,47,1,1
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,23,l2,t,es,na,audio/023.wav,,l2_t_es_na_023,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.3206999999881077,2.144199999988075]",0,28,28,37,1,1
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,113,l2,f,se,na,audio/113.wav,,l2_f_se_na_113,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""rshift"",""lshift""]","[1.3830999999642017,2.257000000000005]",0,29,29,17,1,1
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,128,l2,f,sp,na,audio/128.wav,,l2_f_sp_na_128,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""rshift""]",[1.300699999988069],0,30,30,32,1,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,167,l2,t,es,f0c,audio/167.wav,,l2_t_es_f0c_167,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.422599999964234,2.2998999999761622]",0,31,31,51,1,1
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,117,l2,f,se,na,audio/117.wav,,l2_f_se_na_117,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""rshift"",""lshift""]","[1.3352000000476778,2.1637000000476974]",0,32,32,21,1,1
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,26,l2,t,es,na,audio/026.wav,,l2_t_es_na_026,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.4004999999999654,2.250800000011907]",0,33,33,40,1,1
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,161,l2,t,es,f0c,audio/161.wav,,l2_t_es_f0c_161,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift"",""rshift""]","[1.4207999999523508,2.045399999976098]",0,34,34,45,1,1
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,96,l2,f,en,na,audio/096.wav,,l2_f_en_na_096,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift""]",[1.2355000000000018],0,35,35,0,1,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,112,l2,f,se,na,audio/112.wav,,l2_f_se_na_112,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""rshift"",""lshift""]","[1.3559999999999945,2.217800000011948]",0,36,36,16,1,1
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,106,l2,f,en,na,audio/106.wav,,l2_f_en_na_106,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift""]",[1.3696999999881427],0,37,37,10,1,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,130,l2,f,sp,na,audio/130.wav,,l2_f_sp_na_130,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""rshift""]",[1.2701999999881082],0,38,38,34,1,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,122,l2,f,sp,na,audio/122.wav,,l2_f_sp_na_122,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""rshift""]",[1.2499000000357228],0,39,39,26,1,
21,1,2023-09-05_18h32.55.031,exp_g1,2022.2.5,MacIntel,60.0024001,,,,,,,,103,l2,f,en,na,audio/103.wav,,l2_f_en_na_103,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,2,america,spain,,,,,,,,,,,"[""lshift""]",[1.6335000000000264],0,40,40,7,1,
