participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_trial_key.rt,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_trial_loop.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,120,l2,f,se,na,audio/120.wav,,l2_f_se_na_120,,,,,,,image/glasses.png,image/joycons.png,joycons,rshift,,rshift,1,2.6924,0,16,16,24,1,1,joycons,glasses,glasses,joycons,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,119,l2,f,se,na,audio/119.wav,,l2_f_se_na_119,,,,,,,image/penthouse.png,image/rocket.png,penthouse,lshift,,lshift,1,2.7192,0,17,17,23,1,1,penthouse,rocket,penthouse,rocket,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,115,l2,f,se,na,audio/115.wav,,l2_f_se_na_115,,,,,,,image/notebook.png,image/cellphone.png,notebook,lshift,,lshift,1,2.5127,0,18,18,19,1,1,notebook,cellphone,notebook,cellphone,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,125,l2,f,sp,na,audio/125.wav,,l2_f_sp_na_125,,,,,,,image/desk.png,image/bottle.png,desk,lshift,,rshift,0,3.8903,0,19,19,29,1,1,desk,bottle,desk,bottle,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,097,l2,f,en,na,audio/097.wav,,l2_f_en_na_097,,,,,,,image/ring.png,image/belt.png,ring,lshift,,lshift,1,2.294,0,20,20,1,1,1,ring,belt,ring,belt,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,114,l2,f,se,na,audio/114.wav,,l2_f_se_na_114,,,,,,,image/jeans.png,image/sweatpants.png,sweatpants,rshift,,lshift,0,2.5094,0,21,21,18,1,1,sweatpants,jeans,jeans,sweatpants,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,025,l2,t,es,na,audio/025.wav,,l2_t_es_na_025,,,,,,,image/cellphone.png,image/truck.png,cellphone,lshift,,lshift,1,2.4311,0,22,22,39,1,1,cellphone,truck,cellphone,truck,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,109,l2,f,en,na,audio/109.wav,,l2_f_en_na_109,,,,,,,image/fish.png,image/woman.png,fish,lshift,,lshift,1,1.8405,0,23,23,13,1,1,fish,woman,fish,woman,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,129,l2,f,sp,na,audio/129.wav,,l2_f_sp_na_129,,,,,,,image/bag.png,image/chair.png,bag,lshift,,lshift,1,3.8497,0,24,24,33,1,1,bag,chair,bag,chair,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,127,l2,f,sp,na,audio/127.wav,,l2_f_sp_na_127,,,,,,,image/cat.png,image/dog.png,cat,lshift,,rshift,0,3.8253,0,25,25,31,1,1,cat,dog,cat,dog,,,,,,,,,,,,,,,,
