participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_retrial.ran,exp1_trial_key.rt,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_trial_loop.ran,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_retrial.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,066,l1,f,en,na,audio/066.wav,,l1_f_en_na_066,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift""]",[1.7988999999985253],0,41,41,5,1,
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,141,l2,t,es,f0u,audio/141.wav,,l2_t_es_f0u_141,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[2.213100000001532,2.632000000000062]",0,42,42,45,1,1
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,079,l1,f,se,na,audio/079.wav,,l1_f_se_na_079,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift"",""lshift"",""rshift""]","[1.7508999999985235,2.804099999994037,3.117599999994013]",0,43,43,18,1,1
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,092,l1,f,sp,na,audio/092.wav,,l1_f_sp_na_092,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift""]",[1.3531000000015183],0,44,44,31,1,
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,071,l1,f,en,na,audio/071.wav,,l1_f_en_na_071,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift""]",[1.4991999999955397],0,45,45,10,1,
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,087,l1,f,sp,na,audio/087.wav,,l1_f_sp_na_087,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift""]",[1.8376000000015438],0,46,46,26,1,
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,142,l2,t,es,f0u,audio/142.wav,,l2_t_es_f0u_142,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[1.851299999996968,2.6358999999985144]",0,47,47,46,1,1
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,148,l2,t,es,f0u,audio/148.wav,,l2_t_es_f0u_148,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[2.122899999998481,2.3900999999940495]",0,48,48,52,1,1
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,150,l2,t,es,f0u,audio/150.wav,,l2_t_es_f0u_150,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[1.665200000002983,2.535300000004554]",0,49,49,54,1,1
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,084,l1,f,se,na,audio/084.wav,,l1_f_se_na_084,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift""]",[2.3169999999998936],0,50,50,23,1,1
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,013,l1,t,es,na,audio/013.wav,,l1_t_es_na_013,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[1.4950999999940677,2.7950000000000728]",0,51,51,37,1,1
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,089,l1,f,sp,na,audio/089.wav,,l1_f_sp_na_089,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""rshift""]",[2.4663999999985435],0,52,52,28,1,
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,020,l1,t,es,na,audio/020.wav,,l1_t_es_na_020,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[1.6647000000029948,2.63250000000005]",0,53,53,44,1,1
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,149,l2,t,es,f0u,audio/149.wav,,l2_t_es_f0u_149,,,,,,,image/america.png,image/spain.png,,,,,,,,,,,,,,,,,2,america,spain,,,,,,,,,,,,,,,,"[""lshift"",""rshift""]","[1.629199999995535,2.8514999999999873]",0,54,54,53,1,1
058,001,2023-12-05_12h34.48.825,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
