num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,cs,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp1_trial_cross.started,exp1_trial_key.started,exp1_trial_cross.stopped,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_cross.started,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_cross.stopped,exp1_sound.started,exp2_trial_cross.started,exp2_trial_key.started,exp2_trial_cross.stopped,exp2_trial_sound.started,exp2_trial_key.stopped,exp2_trial_key.keys,exp2_trial_key.rt,exp2_cross.started,exp2_key.started,exp2_cross.stopped,exp2_sound.started,exp2_key.stopped,exp2_key.keys,exp2_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
21.0,l2,t,es,na,../audio/021.wav,,l2_t_es_na_021,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,5,5,35,,,,,,,,,,,,,,,,,,,,,276.96302762499545,277.1864635000238,277.21292491594795,277.9523044576092,282.2058781660162,"['lshift', 'rshift']","[1.5889676669612527, 2.22827750002034]",070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
106.0,l2,f,en,na,../audio/106.wav,,l2_f_en_na_106,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,None,,,,,,,,,,,,,,,,,,,,,0,6,6,10,,,,,,,,,,,,,,,,,,,,,282.2058781660162,282.4454863750143,282.4519473329419,283.1995788326642,287.4665374159813,"['lshift', 'lshift']","[1.513577500008978, 2.4844808749621734]",070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
129.0,l2,f,sp,na,../audio/129.wav,,l2_f_sp_na_129,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,None,,,,,,,,,,,,,,,,,,,,,0,7,7,33,,,,,,,,,,,,,,,,,,,,,287.4665374159813,287.6954675409943,287.7120937500149,288.45185999962655,292.7141666249372,"['rshift', 'rshift']","[1.6229764999588951, 3.1954544578911737]",070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
98.0,l2,f,en,na,../audio/098.wav,,l2_f_en_na_098,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,None,,,,,,,,,,,,,,,,,,,,,0,8,8,2,,,,,,,,,,,,,,,,,,,,,292.7141666249372,292.94603137497324,292.9615271659568,293.70073537464873,297.9663777910173,['lshift'],[1.4762623339192942],070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
128.0,l2,f,sp,na,../audio/128.wav,,l2_f_sp_na_128,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,None,,,,,,,,,,,,,,,,,,,,,0,9,9,32,,,,,,,,,,,,,,,,,,,,,297.9663777910173,298.19569408299867,298.21136283304077,298.9521114166748,303.2151718749665,"['lshift', 'rshift']","[1.5105340840527788, 2.067251001019031]",070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
24.0,l2,t,es,na,../audio/024.wav,,l2_t_es_na_024,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,10,10,38,,,,,,,,,,,,,,,,,,,,,303.2151718749665,303.4451620000182,303.46250545803923,304.2018339166573,308.4645114579471,"['lshift', 'rshift']","[2.4525641669752076, 3.0677321669645607]",070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
116.0,l2,f,se,na,../audio/116.wav,,l2_f_se_na_116,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,11,11,20,,,,,,,,,,,,,,,,,,,,,308.4645114579471,308.6958299999824,308.712035540957,309.4529186667098,313.7128384159878,['rshift'],[1.4245756670134142],070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
114.0,l2,f,se,na,../audio/114.wav,,l2_f_se_na_114,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,12,12,18,,,,,,,,,,,,,,,,,,,,,313.7128384159878,313.9452889999375,313.95149758295156,314.7008656666769,318.96338204096537,['rshift'],[2.095192417036742],070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
111.0,l2,f,se,na,../audio/111.wav,,l2_f_se_na_111,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,13,13,15,,,,,,,,,,,,,,,,,,,,,318.96338204096537,319.1952626249986,319.21189725003205,319.951352041626,324.2167616660008,"['rshift', 'lshift']","[1.5680257919011638, 2.6196820839541033]",070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
117.0,l2,f,se,na,../audio/117.wav,,l2_f_se_na_117,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,14,14,21,,,,,,,,,,,,,,,,,,,,,324.2167616660008,324.44552958302666,324.4623660410289,325.2022811666286,329.46409587503877,['rshift'],[1.583969750907272],070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
107.0,l2,f,en,na,../audio/107.wav,,l2_f_en_na_107,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,None,,,,,,,,,,,,,,,,,,,,,0,15,15,11,,,,,,,,,,,,,,,,,,,,,329.46409587503877,329.69547879102174,329.7121256659739,330.4521278746581,334.7128223750042,['lshift'],[1.7548044580034912],070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
121.0,l2,f,sp,na,../audio/121.wav,,l2_f_sp_na_121,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,None,,,,,,,,,,,,,,,,,,,,,0,16,16,25,,,,,,,,,,,,,,,,,,,,,334.7128223750042,334.94564637495205,334.95211041602306,335.7016661667187,339.9681621249765,['rshift'],[1.375944958999753],070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
22.0,l2,t,es,na,../audio/022.wav,,l2_t_es_na_022,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,17,17,36,,,,,,,,,,,,,,,,,,,,,339.9681621249765,340.1956213329686,340.2111299580429,340.95209699968495,345.2132523750188,"['lshift', 'rshift']","[1.3395091670099646, 2.3270594590576366]",070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
110.0,l2,f,en,na,../audio/110.wav,,l2_f_en_na_110,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,None,,,,,,,,,,,,,,,,,,,,,0,18,18,14,,,,,,,,,,,,,,,,,,,,,345.2132523750188,345.4449516249588,345.46176574996207,346.20266758260937,350.465069458005,['lshift'],[1.7595261669484898],070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
164.0,l2,t,es,f0c,../audio/164.wav,,l2_t_es_f0c_164,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,19,19,48,,,,,,,,,,,,,,,,,,,,,350.465069458005,350.69544658297673,350.71176887501497,351.45235383260683,355.7153734159656,"['lshift', 'rshift']","[1.7674626669613644, 2.4015117919771]",070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
99.0,l2,f,en,na,../audio/099.wav,,l2_f_en_na_099,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,None,,,,,,,,,,,,,,,,,,,,,0,20,20,3,,,,,,,,,,,,,,,,,,,,,355.7153734159656,355.9451961249579,355.9620492910035,356.7016530417061,360.9640238749562,['lshift'],[1.6354839169653133],070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
166.0,l2,t,es,f0c,../audio/166.wav,,l2_t_es_f0c_166,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,1,,,,,,,,,,,,,,,,,,,,,0,21,21,50,,,,,,,,,,,,,,,,,,,,,360.9640238749562,361.19498691603076,361.2115620409604,361.95102941670143,366.2114738749806,"['lshift', 'rshift']","[1.3844871249748394, 2.9505815419834107]",070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
101.0,l2,f,en,na,../audio/101.wav,,l2_f_en_na_101,,,,,,,../image/america.png,../image/spain.png,,,2,america,spain,,,,None,,,,,,,,,,,,,,,,,,,,,0,22,22,5,,,,,,,,,,,,,,,,,,,,,366.2114738749806,366.44489133299794,366.4513792080106,367.20168266661153,371.4642987080151,['lshift'],[1.6345516669098288],070,001,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None,
