num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,cs,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp1_trial_cross.started,exp1_trial_key.started,exp1_trial_cross.stopped,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_cross.started,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_cross.stopped,exp1_sound.started,exp1_key.stopped,exp2_trial_cross.started,exp2_trial_key.started,exp2_trial_cross.stopped,exp2_trial_sound.started,exp2_trial_key.stopped,exp2_trial_key.keys,exp2_trial_key.rt,exp2_cross.started,exp2_key.started,exp2_cross.stopped,exp2_sound.started,exp2_key.stopped,exp2_key.keys,exp2_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
71.0,l1,f,en,na,../audio/071.wav,,l1_f_en_na_071,,,,,,,../image/wallet.png,../image/plane.png,plane,rshift,1,plane,wallet,wallet,plane,None,,,,,,,,,,0,46,46,10,,,,,,,,,,,,,,,,,,,235.05149791692384,235.25471362494864,rshift,1,2.705067625036463,235.29897316696588,236.01571149967302,,,,,,,,,,,,,,,,068,001,2023-05-02_12h09.23.391,exp_g1,2022.2.5,None,
19.0,l1,t,es,na,../audio/019.wav,,l1_t_es_na_019,,,,,,,../image/boy.png,../image/dog.png,boy,lshift,1,boy,dog,boy,dog,None,,,,,,,,,,0,47,47,43,,,,,,,,,,,,,,,,,,,238.01241062500048,238.21552183292806,lshift,1,3.1254306660266593,238.25245679193176,238.97220508364651,,,,,,,,,,,,,,,,068,001,2023-05-02_12h09.23.391,exp_g1,2022.2.5,None,
84.0,l1,f,se,na,../audio/084.wav,,l1_f_se_na_084,,,,,,,../image/penthouse.png,../image/rocket.png,penthouse,lshift,1,penthouse,rocket,penthouse,rocket,None,,,,,,,,,,0,48,48,23,,,,,,,,,,,,,,,,,,,241.3936499999836,241.59903916693293,lshift,1,2.791592249996029,241.63803358294535,242.35578524967812,,,,,,,,,,,,,,,,068,001,2023-05-02_12h09.23.391,exp_g1,2022.2.5,None,
16.0,l1,t,es,na,../audio/016.wav,,l1_t_es_na_016,,,,,,,../image/flipflops.png,../image/bag.png,bag,rshift,1,bag,flipflops,flipflops,bag,None,,,,,,,,,,0,49,49,40,,,,,,,,,,,,,,,,,,,244.4445915420074,244.64888137497474,rshift,1,3.373792083002627,244.6886649999069,245.406305958579,,,,,,,,,,,,,,,,068,001,2023-05-02_12h09.23.391,exp_g1,2022.2.5,None,
137.0,l1,t,es,f0u,../audio/137.wav,,l1_t_es_f0u_137,,,,,,,../image/jacket.png,../image/shirt.png,jacket,lshift,1,jacket,shirt,jacket,shirt,None,,,,,,,,,,0,50,50,51,,,,,,,,,,,,,,,,,,,248.07151379191782,248.2724352919031,lshift,1,2.2724293750943616,248.31556262494996,249.03740829165716,,,,,,,,,,,,,,,,068,001,2023-05-02_12h09.23.391,exp_g1,2022.2.5,None,
133.0,l1,t,es,f0u,../audio/133.wav,,l1_t_es_f0u_133,,,,,,,../image/cellphone.png,../image/book.png,cellphone,lshift,1,cellphone,book,cellphone,book,None,,,,,,,,,,0,51,51,47,,,,,,,,,,,,,,,,,,,250.59318879200146,250.79851875000168,lshift,1,2.556124708033167,250.83896037493832,251.553320958574,,,,,,,,,,,,,,,,068,001,2023-05-02_12h09.23.391,exp_g1,2022.2.5,None,
68.0,l1,f,en,na,../audio/068.wav,,l1_f_en_na_068,,,,,,,../image/socks.png,../image/book.png,socks,lshift,1,socks,book,socks,book,None,,,,,,,,,,0,52,52,7,,,,,,,,,,,,,,,,,,,253.40116058301646,253.61426708300132,lshift,1,2.4025395000353456,253.64745479193516,254.3656207086208,,,,,,,,,,,,,,,,068,001,2023-05-02_12h09.23.391,exp_g1,2022.2.5,None,
14.0,l1,t,es,na,../audio/014.wav,,l1_t_es_na_014,,,,,,,../image/book.png,../image/key.png,key,rshift,1,key,book,book,key,None,,,,,,,,,,0,53,53,38,,,,,,,,,,,,,,,,,,,256.0661839999957,256.2721450419631,rshift,1,2.6472321239998564,256.305237499997,257.0322980835956,,,,,,,,,,,,,,,,068,001,2023-05-02_12h09.23.391,exp_g1,2022.2.5,None,
62.0,l1,f,en,na,../audio/062.wav,,l1_f_en_na_062,,,,,,,../image/shoe.png,../image/ring.png,shoe,lshift,1,shoe,ring,shoe,ring,None,,,,,,,,,,0,54,54,1,,,,,,,,,,,,,,,,,,,258.96574574999977,259.17179120797664,lshift,1,2.1358515829779208,259.20255924994126,259.93230958359004,,,,,,,,,,,,,,,,068,001,2023-05-02_12h09.23.391,exp_g1,2022.2.5,None,
tr1,lt,tr,en,na,../practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,../image/america.png,../image/spain.png,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,276.6470227079699,276.837189916987,276.884902791935,277.5984380415796,281.86893712496385,['lshift'],[1.8343692499911413],,,,,,,,068,001,2023-05-02_12h09.23.391,exp_g1,2022.2.5,None,
tr2,lt,tr,en,na,../practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,../image/america.png,../image/spain.png,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,281.86893712496385,282.08158233296126,282.11561974999495,282.84779483365514,287.10231870796997,"['lshift', 'lshift']","[2.0813080410007387, 3.5342229990055785]",,,,,,,,068,001,2023-05-02_12h09.23.391,exp_g1,2022.2.5,None,
tr3,lt,tr,sp,na,../practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,../image/america.png,../image/spain.png,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,287.10231870796997,287.3319743749453,287.3470933329081,288.0887708746052,292.35039337491617,['rshift'],[1.5004059580387548],,,,,,,,068,001,2023-05-02_12h09.23.391,exp_g1,2022.2.5,None,
tr4,lt,tr,sp,na,../practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,../image/america.png,../image/spain.png,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,292.35039337491617,292.5807712919777,292.59850891691167,293.3486150836727,297.60118437500205,['rshift'],[1.89210075000301],,,,,,,,068,001,2023-05-02_12h09.23.391,exp_g1,2022.2.5,None,
tr5,lt,tr,se,na,../practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,../image/america.png,../image/spain.png,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,297.60118437500205,297.83103937492706,297.84808133298066,298.5884127086649,302.84616012498736,"['rshift', 'lshift']","[1.335766875068657, 3.385205417056568]",,,,,,,,068,001,2023-05-02_12h09.23.391,exp_g1,2022.2.5,None,
