participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_key.rt,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_key.keys,exp1_key.corr,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp1_key.rt,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_trial_loop.ran,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_retrial.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,021,l2,t,es,na,audio/021.wav,,l2_t_es_na_021,,,,,,,image/jacket.png,image/flipflops.png,jacket,lshift,lshift,1,0,23,23,35,1,1,jacket,flipflops,jacket,flipflops,,2.3075,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,160,l1,t,es,f0c,audio/160.wav,,l1_t_es_f0c_160,,,,,,,image/ring.png,image/bracelet.png,bracelet,rshift,rshift,1,0,24,24,54,1,1,bracelet,ring,ring,bracelet,,4.1539,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,114,l2,f,se,na,audio/114.wav,,l2_f_se_na_114,,,,,,,image/jeans.png,image/sweatpants.png,sweatpants,rshift,lshift,0,0,25,25,18,1,1,sweatpants,jeans,jeans,sweatpants,,2.6692,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,126,l2,f,sp,na,audio/126.wav,,l2_f_sp_na_126,,,,,,,image/backpack.png,image/key.png,key,rshift,rshift,1,0,26,26,30,1,1,key,backpack,backpack,key,,2.777,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,108,l2,f,en,na,audio/108.wav,,l2_f_en_na_108,,,,,,,image/scarf.png,image/socks.png,socks,rshift,rshift,1,0,27,27,12,1,1,socks,scarf,scarf,socks,,2.1623,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,107,l2,f,en,na,audio/107.wav,,l2_f_en_na_107,,,,,,,image/man.png,image/cat.png,man,lshift,lshift,1,0,28,28,11,1,1,man,cat,man,cat,,2.1982,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,111,l2,f,se,na,audio/111.wav,,l2_f_se_na_111,,,,,,,image/mashedpotatoes.png,image/donut.png,mashedpotatoes,lshift,lshift,1,0,29,29,15,1,1,mashedpotatoes,donut,mashedpotatoes,donut,,2.3461,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,153,l1,t,es,f0c,audio/153.wav,,l1_t_es_f0c_153,,,,,,,image/cellphone.png,image/book.png,cellphone,lshift,lshift,1,0,30,30,47,1,1,cellphone,book,cellphone,book,,2.9477,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,099,l2,f,en,na,audio/099.wav,,l2_f_en_na_099,,,,,,,image/dog.png,image/cat.png,dog,lshift,lshift,1,0,31,31,3,1,1,dog,cat,dog,cat,,1.9023,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,117,l2,f,se,na,audio/117.wav,,l2_f_se_na_117,,,,,,,image/spongebob.png,image/mickeymouse.png,spongebob,lshift,lshift,1,0,32,32,21,1,1,spongebob,mickeymouse,spongebob,mickeymouse,,2.3059,,,,,,,,,,,,,,,,,,,,
