num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct,exp_num,image,image_alt,left_img,right_img,correct_key,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.rt,exp2_trial_key.started,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_sound.started,participant,session,date,expName,psychopyVersion,frameRate,
85.0,l1,f,se,na,../audio/085.wav,,l1_f_se_na_085,,,,,,,../image/loafers.png,../image/sneakers.png,sneakers,,1,sneakers,loafers,loafers,sneakers,r,None,,,,,,,,,0,1,1,24,,,,,,,,,,,,15.175323249999565,['lshift'],[0.2738922509997792],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
69.0,l1,f,en,na,../audio/069.wav,,l1_f_en_na_069,,,,,,,../image/bag.png,../image/shirt.png,shirt,,1,shirt,bag,bag,shirt,r,None,,,,,,,,,0,2,2,8,,,,,,,,,,,,15.490409624999302,['lshift'],[0.104750125999999],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
74.0,l1,f,en,na,../audio/074.wav,,l1_f_en_na_074,,,,,,,../image/boy.png,../image/woman.png,boy,,1,boy,woman,boy,woman,l,None,,,,,,,,,0,3,3,13,,,,,,,,,,,,15.641123916000652,['lshift'],[0.08044608400086872],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
66.0,l1,f,en,na,../audio/066.wav,,l1_f_en_na_066,,,,,,,../image/bag.png,../image/scarf.png,bag,,1,bag,scarf,bag,scarf,l,None,,,,,,,,,0,4,4,5,,,,,,,,,,,,15.757437165999363,['lshift'],[0.08586704200024542],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
63.0,l1,f,en,na,../audio/063.wav,,l1_f_en_na_063,,,,,,,../image/woman.png,../image/man.png,man,,1,man,woman,woman,man,r,None,,,,,,,,,0,5,5,2,,,,,,,,,,,,15.885632457999236,['lshift'],[0.10575929300102871],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
76.0,l1,f,se,na,../audio/076.wav,,l1_f_se_na_076,,,,,,,../image/hotdog.png,../image/burger.png,hotdog,,1,hotdog,burger,hotdog,burger,l,None,,,,,,,,,0,6,6,15,,,,,,,,,,,,16.042393749999974,['lshift'],[0.09359595900059503],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
139.0,l1,t,es,f0u,../audio/139.wav,,l1_t_es_f0u_139,,,,,,,../image/restaurant.png,../image/hotel.png,restaurant,,1,restaurant,hotel,restaurant,hotel,l,None,,,,,,,,,0,7,7,53,,,,,,,,,,,,16.178088624999873,['lshift'],[0.10503962599977967],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
64.0,l1,f,en,na,../audio/064.wav,,l1_f_en_na_064,,,,,,,../image/wallet.png,../image/key.png,wallet,,1,wallet,key,wallet,key,l,None,,,,,,,,,0,8,8,3,,,,,,,,,,,,16.319693375000497,['lshift'],[0.09327850000045146],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
79.0,l1,f,se,na,../audio/079.wav,,l1_f_se_na_079,,,,,,,../image/sweatpants.png,../image/jeans.png,jeans,,1,jeans,sweatpants,sweatpants,jeans,r,None,,,,,,,,,0,9,9,18,,,,,,,,,,,,16.450652333000107,['lshift'],[0.08903187600117235],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
15.0,l1,t,es,na,../audio/015.wav,,l1_t_es_na_015,,,,,,,../image/glasses.png,../image/jacket.png,glasses,,1,glasses,jacket,glasses,jacket,l,None,,,,,,,,,0,10,10,39,,,,,,,,,,,,16.57254604099944,['lshift'],[0.10309854200022528],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
