num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
15.0,l1,t,es,na,../audio/015.wav,,l1_t_es_na_015,,,,,,,../image/glasses.png,../image/jacket.png,glasses,rshift,1,glasses,jacket,glasses,jacket,None,,,,,,,,,0,31,31,39,,,,,,,,,,,,26.33250599999883,lshift,0,0.2061377909994917,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
80.0,l1,f,se,na,../audio/080.wav,,l1_f_se_na_080,,,,,,,../image/mouse.png,../image/rat.png,mouse,lshift,1,mouse,rat,mouse,rat,None,,,,,,,,,0,32,32,19,,,,,,,,,,,,26.583890041001723,lshift,1,0.2350320420009666,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
88.0,l1,f,sp,na,../audio/088.wav,,l1_f_sp_na_088,,,,,,,../image/book.png,../image/cellphone.png,book,rshift,1,book,cellphone,book,cellphone,None,,,,,,,,,0,33,33,27,,,,,,,,,,,,26.860649750000448,lshift,0,0.20571429199480917,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
69.0,l1,f,en,na,../audio/069.wav,,l1_f_en_na_069,,,,,,,../image/bag.png,../image/shirt.png,shirt,rshift,1,shirt,bag,bag,shirt,None,,,,,,,,,0,34,34,8,,,,,,,,,,,,27.11109166600363,lshift,0,0.20503137500054436,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
93.0,l1,f,sp,na,../audio/093.wav,,l1_f_sp_na_093,,,,,,,../image/boy.png,../image/book.png,book,lshift,1,book,boy,boy,book,None,,,,,,,,,0,35,35,32,,,,,,,,,,,,27.365022333004163,lshift,1,0.19509183400077745,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
132.0,l1,t,es,f0u,../audio/132.wav,,l1_t_es_f0u_132,,,,,,,../image/car.png,../image/grandma.png,grandma,lshift,1,grandma,car,car,grandma,None,,,,,,,,,0,36,36,46,,,,,,,,,,,,27.607667875003244,lshift,1,0.20168849999754457,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
140.0,l1,t,es,f0u,../audio/140.wav,,l1_t_es_f0u_140,,,,,,,../image/ring.png,../image/bracelet.png,bracelet,rshift,1,bracelet,ring,ring,bracelet,None,,,,,,,,,0,37,37,54,,,,,,,,,,,,27.848869541005115,rshift,1,0.1876118750005844,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
74.0,l1,f,en,na,../audio/074.wav,,l1_f_en_na_074,,,,,,,../image/boy.png,../image/woman.png,boy,lshift,1,boy,woman,boy,woman,None,,,,,,,,,0,38,38,13,,,,,,,,,,,,28.085429291000764,lshift,1,0.13579370800289325,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
16.0,l1,t,es,na,../audio/016.wav,,l1_t_es_na_016,,,,,,,../image/flipflops.png,../image/bag.png,bag,lshift,1,bag,flipflops,flipflops,bag,None,,,,,,,,,0,39,39,40,,,,,,,,,,,,28.26336900000024,rshift,0,0.17352504200243857,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
87.0,l1,f,sp,na,../audio/087.wav,,l1_f_sp_na_087,,,,,,,../image/desk.png,../image/bed.png,bed,rshift,1,bed,desk,desk,bed,None,,,,,,,,,0,40,40,26,,,,,,,,,,,,28.48526712500461,lshift,0,0.14128416599851334,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
75.0,l1,f,en,na,../audio/075.wav,,l1_f_en_na_075,,,,,,,../image/dog.png,../image/fish.png,fish,rshift,1,fish,dog,dog,fish,None,,,,,,,,,0,41,41,14,,,,,,,,,,,,28.668259500002023,rshift,1,0.18527929100673646,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
61.0,l1,f,en,na,../audio/061.wav,,l1_f_en_na_061,,,,,,,../image/cat.png,../image/dog.png,dog,rshift,1,dog,cat,cat,dog,../image/,,,,,,,,,0,42,42,0,,,,,,,,,,,,28.899718125001527,lshift,0,0.13236387499637203,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
63.0,l1,f,en,na,../audio/063.wav,,l1_f_en_na_063,,,,,,,../image/woman.png,../image/man.png,man,rshift,1,man,woman,woman,man,None,,,,,,,,,0,43,43,2,,,,,,,,,,,,29.080525500001386,rshift,1,0.16197816700150725,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
90.0,l1,f,sp,na,../audio/090.wav,,l1_f_sp_na_090,,,,,,,../image/bag.png,../image/bottle.png,bag,rshift,1,bag,bottle,bag,bottle,None,,,,,,,,,0,44,44,29,,,,,,,,,,,,29.279088791001413,lshift,0,0.14763470900652464,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
