num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct,exp_num,image,image_alt,left_img,right_img,correct_key,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.rt,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
70.0,l1,f,en,na,../audio/070.wav,,l1_f_en_na_070,,,,,,,../image/computer.png,../image/bed.png,computer,,1,computer,bed,computer,bed,l,None,,,,,,,,,0,38,38,9,,,,,,,,,,,,27.993889708001007,['lshift'],[0.1522744169978978],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
84.0,l1,f,se,na,../audio/084.wav,,l1_f_se_na_084,,,,,,,../image/penthouse.png,../image/rocket.png,penthouse,,1,penthouse,rocket,penthouse,rocket,l,None,,,,,,,,,0,39,39,23,,,,,,,,,,,,28.199083667001105,['lshift'],[0.13867041699813853],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
139.0,l1,t,es,f0u,../audio/139.wav,,l1_t_es_f0u_139,,,,,,,../image/restaurant.png,../image/hotel.png,restaurant,,1,restaurant,hotel,restaurant,hotel,l,None,,,,,,,,,0,40,40,53,,,,,,,,,,,,28.38205016699976,['lshift'],[0.19131729199943948],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
94.0,l1,f,sp,na,../audio/094.wav,,l1_f_sp_na_094,,,,,,,../image/beer.png,../image/horchata.png,beer,,1,beer,horchata,beer,horchata,l,None,,,,,,,,,0,41,41,33,,,,,,,,,,,,28.616707958000916,['lshift'],[0.133050333999563],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
89.0,l1,f,sp,na,../audio/089.wav,,l1_f_sp_na_089,,,,,,,../image/bed.png,../image/wallet.png,wallet,,1,wallet,bed,bed,wallet,r,None,,,,,,,,,0,42,42,28,,,,,,,,,,,,28.797538292001263,['lshift'],[0.13554554199799895],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
14.0,l1,t,es,na,../audio/014.wav,,l1_t_es_na_014,,,,,,,../image/book.png,../image/key.png,key,,1,key,book,book,key,r,None,,,,,,,,,0,43,43,38,,,,,,,,,,,,28.973877792001076,['lshift'],[0.1281258329981938],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
91.0,l1,f,sp,na,../audio/091.wav,,l1_f_sp_na_091,,,,,,,../image/backpack.png,../image/bracelet.png,bracelet,,1,bracelet,backpack,backpack,bracelet,r,None,,,,,,,,,0,44,44,30,,,,,,,,,,,,29.14443329200003,['lshift'],[0.16737766699952772],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
11.0,l1,t,es,na,../audio/011.wav,,l1_t_es_na_011,,,,,,,../image/armchair.png,../image/bed.png,armchair,,1,armchair,bed,armchair,bed,l,None,,,,,,,,,0,45,45,35,,,,,,,,,,,,29.356226542000513,['lshift'],[0.177965791999668],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
135.0,l1,t,es,f0u,../audio/135.wav,,l1_t_es_f0u_135,,,,,,,../image/flipflops.png,../image/flower.png,flipflops,,1,flipflops,flower,flipflops,flower,l,None,,,,,,,,,0,46,46,49,,,,,,,,,,,,29.580949083001542,['lshift'],[0.18550237499948707],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
90.0,l1,f,sp,na,../audio/090.wav,,l1_f_sp_na_090,,,,,,,../image/bag.png,../image/bottle.png,bag,,1,bag,bottle,bag,bottle,l,None,,,,,,,,,0,47,47,29,,,,,,,,,,,,29.80881033300102,['lshift'],[0.19784295899808058],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
133.0,l1,t,es,f0u,../audio/133.wav,,l1_t_es_f0u_133,,,,,,,../image/cellphone.png,../image/book.png,cellphone,,1,cellphone,book,cellphone,book,l,None,,,,,,,,,0,48,48,47,,,,,,,,,,,,30.04920170800142,['lshift'],[0.2015512089983531],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
67.0,l1,f,en,na,../audio/067.wav,,l1_f_en_na_067,,,,,,,../image/beer.png,../image/glasses.png,glasses,,1,glasses,beer,beer,glasses,r,None,,,,,,,,,0,49,49,6,,,,,,,,,,,,30.292046458000186,['lshift'],[0.21433949999845936],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
140.0,l1,t,es,f0u,../audio/140.wav,,l1_t_es_f0u_140,,,,,,,../image/ring.png,../image/bracelet.png,bracelet,,1,bracelet,ring,ring,bracelet,r,None,,,,,,,,,0,50,50,54,,,,,,,,,,,,30.5505476670005,['lshift'],[0.1912813749986526],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
66.0,l1,f,en,na,../audio/066.wav,,l1_f_en_na_066,,,,,,,../image/bag.png,../image/scarf.png,bag,,1,bag,scarf,bag,scarf,l,None,,,,,,,,,0,51,51,5,,,,,,,,,,,,30.784511583000494,['lshift'],[0.19313866699849314],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
76.0,l1,f,se,na,../audio/076.wav,,l1_f_se_na_076,,,,,,,../image/hotdog.png,../image/burger.png,hotdog,,1,hotdog,burger,hotdog,burger,l,None,,,,,,,,,0,52,52,15,,,,,,,,,,,,31.02306133300044,['lshift'],[0.1835468339977524],,,,,032644,001,2023-04-03_13h59.33.727,exp_g1,2022.2.5,None,
