num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_sound.started,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
15.0,l1,t,es,na,../audio/015.wav,,l1_t_es_na_015,,,,,,,../image/glasses.png,../image/jacket.png,glasses,lshift,1,glasses,jacket,glasses,jacket,None,,,,,,,,,0,6,6,39,,,,,,,,,,,,,659.6751774159493,lshift,1,2.7853823341429234,660.64793914092,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
68.0,l1,f,en,na,../audio/068.wav,,l1_f_en_na_068,,,,,,,../image/socks.png,../image/book.png,socks,lshift,1,socks,book,socks,book,None,,,,,,,,,0,7,7,7,,,,,,,,,,,,,662.4927182500251,lshift,1,2.467693667043932,663.472395224974,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
84.0,l1,f,se,na,../audio/084.wav,,l1_f_se_na_084,,,,,,,../image/penthouse.png,../image/rocket.png,penthouse,lshift,1,penthouse,rocket,penthouse,rocket,None,,,,,,,,,0,8,8,23,,,,,,,,,,,,,664.993854207918,lshift,1,2.8554145010421053,665.966929266008,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
12.0,l1,t,es,na,../audio/012.wav,,l1_t_es_na_012,,,,,,,../image/newspaper.png,../image/book.png,book,rshift,1,book,newspaper,newspaper,book,None,,,,,,,,,0,9,9,36,,,,,,,,,,,,,667.8877881249646,rshift,1,2.705166707979515,668.8655150159145,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
17.0,l1,t,es,na,../audio/017.wav,,l1_t_es_na_017,,,,,,,../image/jug.png,../image/cat.png,jug,lshift,1,jug,cat,jug,cat,None,,,,,,,,,0,10,10,41,,,,,,,,,,,,,670.6317542499164,lshift,1,2.889456751057878,671.5998418909846,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
93.0,l1,f,sp,na,../audio/093.wav,,l1_f_sp_na_093,,,,,,,../image/boy.png,../image/book.png,book,rshift,1,book,boy,boy,book,None,,,,,,,,,0,11,11,32,,,,,,,,,,,,,673.5650782909943,rshift,1,1.9962711250409484,674.5309373079915,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
79.0,l1,f,se,na,../audio/079.wav,,l1_f_se_na_079,,,,,,,../image/sweatpants.png,../image/jeans.png,jeans,rshift,1,jeans,sweatpants,sweatpants,jeans,None,,,,,,,,,0,12,12,18,,,,,,,,,,,,,675.5921485829167,rshift,1,2.4777804580517113,676.571879516018,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
132.0,l1,t,es,f0u,../audio/132.wav,,l1_t_es_f0u_132,,,,,,,../image/car.png,../image/grandma.png,grandma,rshift,1,grandma,car,car,grandma,None,,,,,,,,,0,13,13,46,,,,,,,,,,,,,678.1014924999326,rshift,1,2.6086958340601996,679.081196640979,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
19.0,l1,t,es,na,../audio/019.wav,,l1_t_es_na_019,,,,,,,../image/boy.png,../image/dog.png,boy,lshift,1,boy,dog,boy,dog,None,,,,,,,,,0,14,14,43,,,,,,,,,,,,,680.7425901659299,lshift,1,3.275859208079055,681.7146933910087,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
94.0,l1,f,sp,na,../audio/094.wav,,l1_f_sp_na_094,,,,,,,../image/beer.png,../image/horchata.png,beer,lshift,1,beer,horchata,beer,horchata,None,,,,,,,,,0,15,15,33,,,,,,,,,,,,,684.0491889580153,lshift,1,2.9310251669958234,685.0309661829494,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
