...1,num,list,cond,lang,type,mat_dur,correct_key,exp_num,cs,exp1_key.keys,exp1_key.rt,exp1_key.corr,exp2_key.keys,exp2_key.rt,participant,group,prof
31,71,l1,FALSE,en,na,1.261129,NA,2,NA,NA,NA,NA,"[""lshift""]",[3.3968999999760854],6,exp_g2,-16
32,72,l1,FALSE,en,na,0.83156,NA,2,NA,NA,NA,NA,"[""lshift""]",[2.189999999999941],6,exp_g2,-16
33,73,l1,FALSE,en,na,0.877576,NA,2,NA,NA,NA,NA,"[""lshift""]",[2.771700000047531],6,exp_g2,-16
34,74,l1,FALSE,en,na,0.396484,NA,2,NA,NA,NA,NA,"[""lshift""]",[2.4612999999523026],6,exp_g2,-16
35,75,l1,FALSE,en,na,0.913493,NA,2,NA,NA,NA,NA,"[""lshift"",""rshift"",""lshift""]","[2.9156999999283926,3.1160999999046908,4.070599999904516]",6,exp_g2,-16
36,96,l2,FALSE,en,na,-,rshift,1,NA,rshift,2.0859,1,NA,NA,6,exp_g2,-16
37,97,l2,FALSE,en,na,-,lshift,1,NA,lshift,2.2997,1,NA,NA,6,exp_g2,-16
38,98,l2,FALSE,en,na,0.376142,rshift,1,NA,rshift,2.2816,1,NA,NA,6,exp_g2,-16
39,99,l2,FALSE,en,na,0.462405,lshift,1,NA,lshift,1.968,1,NA,NA,6,exp_g2,-16
40,100,l2,FALSE,en,na,-,rshift,1,NA,rshift,2.2207,1,NA,NA,6,exp_g2,-16
41,101,l2,FALSE,en,na,0.924484,lshift,1,NA,lshift,2.4701,1,NA,NA,6,exp_g2,-16
42,102,l2,FALSE,en,na,1.021105,rshift,1,NA,rshift,2.5881,1,NA,NA,6,exp_g2,-16
43,103,l2,FALSE,en,na,0.594925,lshift,1,NA,lshift,2.1179,1,NA,NA,6,exp_g2,-16
44,104,l2,FALSE,en,na,-,rshift,1,NA,rshift,2.2067,1,NA,NA,6,exp_g2,-16
45,105,l2,FALSE,en,na,-,lshift,1,NA,lshift,3.2294,1,NA,NA,6,exp_g2,-16
46,106,l2,FALSE,en,na,1.203962,rshift,1,NA,rshift,2.8203,1,NA,NA,6,exp_g2,-16
47,107,l2,FALSE,en,na,0.740095,lshift,1,NA,lshift,2.8047,1,NA,NA,6,exp_g2,-16
48,108,l2,FALSE,en,na,0.818995,rshift,1,NA,rshift,2.5935,1,NA,NA,6,exp_g2,-16
49,109,l2,FALSE,en,na,0.344097,lshift,1,NA,lshift,2.0239,1,NA,NA,6,exp_g2,-16
50,110,l2,FALSE,en,na,0.973278,rshift,1,NA,rshift,2.5982,1,NA,NA,6,exp_g2,-16
51,141,l2,TRUE,es,f0u,0.75509375,NA,2,1,NA,NA,NA,"[""lshift""]",[2.4662000000477065],6,exp_g2,-16
52,142,l2,TRUE,es,f0u,0.73509375,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[2.9642999999523454,3.18129999995233]",6,exp_g2,-16
