participant,group,list,cond,lang,type,num,exp_num,cs,correct_key,response,rt,is_correct,source,lextale,lextale_z,mat_dur
006,exp_g2,l2,t,es,na,023,1,NA,lshift,rshift,2.0215039999999997,0,local,-16,-1.8477872667942958,0.80629600000000001
006,exp_g2,l2,t,es,na,024,1,NA,rshift,rshift,2.029933,1,local,-16,-1.8477872667942958,0.81726699999999997
006,exp_g2,l2,f,en,na,110,1,NA,rshift,rshift,1.6249219999999998,1,local,-16,-1.8477872667942958,0.97327799999999998
021,exp_g1,l1,t,es,na,019,1,NA,lshift,lshift,1.3384699999999998,1,local,50,3.102373455318837,1.44153
021,exp_g1,l1,t,es,f0u,132,1,NA,rshift,rshift,1.35941875,1,local,50,3.102373455318837,0.92128125000000005
021,exp_g1,l1,t,es,na,011,1,NA,lshift,lshift,2.686625,1,local,50,3.102373455318837,0.94437499999999996
021,exp_g1,l1,f,en,na,064,1,NA,lshift,lshift,1.249728,1,local,50,3.102373455318837,0.42857200000000001
021,exp_g1,l1,f,en,na,073,1,NA,rshift,rshift,1.2005240000000001,1,local,50,3.102373455318837,0.87757600000000002
021,exp_g1,l1,t,es,na,016,1,NA,rshift,rshift,1.1849980000000002,1,local,50,3.102373455318837,1.6949019999999999
021,exp_g1,l1,t,es,na,017,1,NA,lshift,lshift,1.3326950000000002,1,local,50,3.102373455318837,1.328805
021,exp_g1,l1,t,es,f0u,138,1,NA,rshift,rshift,1.3295874999999997,1,local,50,3.102373455318837,0.97081249999999997
021,exp_g1,l1,t,es,f0u,133,1,NA,lshift,lshift,1.4983500000000003,1,local,50,3.102373455318837,0.77825
021,exp_g1,l1,t,es,na,013,1,NA,lshift,lshift,1.072107,1,local,50,3.102373455318837,1.352093
021,exp_g1,l1,t,es,f0u,135,1,NA,lshift,lshift,1.2746999999999997,1,local,50,3.102373455318837,0.85950000000000004
021,exp_g1,l1,t,es,na,018,1,NA,rshift,rshift,1.463225,1,local,50,3.102373455318837,0.90037500000000004
021,exp_g1,l1,t,es,na,015,1,NA,lshift,lshift,1.4186860000000003,1,local,50,3.102373455318837,0.88211399999999995
021,exp_g1,l1,t,es,na,020,1,NA,rshift,rshift,1.4017399999999998,1,local,50,3.102373455318837,0.99675999999999998
021,exp_g1,l1,t,es,na,014,1,NA,rshift,rshift,1.3567150000000001,1,local,50,3.102373455318837,0.78868499999999997
021,exp_g1,l1,f,en,na,074,1,NA,lshift,lshift,1.316816,1,local,50,3.102373455318837,0.396484
021,exp_g1,l1,f,en,na,063,1,NA,rshift,rshift,1.3784239999999999,1,local,50,3.102373455318837,0.35137600000000002
021,exp_g1,l1,t,es,f0u,131,1,NA,lshift,lshift,1.1288624999999999,1,local,50,3.102373455318837,0.78843750000000001
021,exp_g1,l1,f,en,na,067,1,NA,rshift,rshift,1.1605960000000002,1,local,50,3.102373455318837,0.95080399999999998
021,exp_g1,l1,t,es,f0u,137,1,NA,lshift,lshift,1.5629750000000002,1,local,50,3.102373455318837,0.63512500000000005
021,exp_g1,l1,f,en,na,071,1,NA,rshift,rshift,1.382571,1,local,50,3.102373455318837,1.2611289999999999
021,exp_g1,l1,t,es,f0u,139,1,NA,lshift,lshift,1.4448625,1,local,50,3.102373455318837,1.1799375000000001
021,exp_g1,l1,f,en,na,068,1,NA,lshift,lshift,1.5098159999999998,1,local,50,3.102373455318837,0.60078399999999998
021,exp_g1,l1,t,es,f0u,134,1,NA,rshift,rshift,1.41070625,1,local,50,3.102373455318837,0.91259374999999998
021,exp_g1,l1,f,en,na,066,1,NA,lshift,lshift,1.2804990000000003,1,local,50,3.102373455318837,0.78000100000000006
021,exp_g1,l1,f,en,na,075,1,NA,rshift,rshift,1.2498070000000001,1,local,50,3.102373455318837,0.913493
021,exp_g1,l1,t,es,f0u,140,1,NA,rshift,rshift,1.3394750000000002,1,local,50,3.102373455318837,1.108625
021,exp_g1,l1,t,es,f0u,136,1,NA,rshift,rshift,1.415825,1,local,50,3.102373455318837,0.97487500000000005
021,exp_g1,l1,f,en,na,072,1,NA,lshift,lshift,1.10254,1,local,50,3.102373455318837,0.83155999999999997
021,exp_g1,l1,t,es,na,012,1,NA,rshift,rshift,1.320197,1,local,50,3.102373455318837,0.82370299999999996
027,exp_g2,l2,t,es,na,021,1,NA,lshift,lshift,1.8402789999999998,1,local,14,0.4022857887116734,0.70402100000000001
027,exp_g2,l1,t,es,f0c,159,1,NA,lshift,lshift,1.4861625,1,local,14,0.4022857887116734,1.1799375000000001
027,exp_g2,l2,f,en,na,102,1,NA,rshift,rshift,1.1630950000000002,1,local,14,0.4022857887116734,1.0211049999999999
