participant,lt_std,...1,num,list,cond,lang,type,mat_dur,exp1_key.keys,exp1_key.rt,exp1_key.corr,cor_rate,group,prof,rt
73,-0.12273125757305277,11,98,l2,FALSE,en,na,0.376142,rshift,1.878,1,1,exp_g2,7,1.501858
73,-0.12273125757305277,12,99,l2,FALSE,en,na,0.462405,lshift,1.825,1,1,exp_g2,7,1.362595
73,-0.12273125757305277,13,101,l2,FALSE,en,na,0.924484,lshift,2.474,1,1,exp_g2,7,1.549516
73,-0.12273125757305277,14,102,l2,FALSE,en,na,1.021105,rshift,2.255,1,1,exp_g2,7,1.233895
73,-0.12273125757305277,15,103,l2,FALSE,en,na,0.594925,lshift,2.176,1,1,exp_g2,7,1.581075
73,-0.12273125757305277,16,106,l2,FALSE,en,na,1.203962,rshift,2.704,1,1,exp_g2,7,1.500038
73,-0.12273125757305277,17,107,l2,FALSE,en,na,0.740095,lshift,2.438,1,1,exp_g2,7,1.697905
73,-0.12273125757305277,18,108,l2,FALSE,en,na,0.818995,rshift,2.439,1,1,exp_g2,7,1.620005
73,-0.12273125757305277,19,109,l2,FALSE,en,na,0.344097,lshift,1.811,1,1,exp_g2,7,1.466903
73,-0.12273125757305277,20,110,l2,FALSE,en,na,0.973278,rshift,2.425,1,1,exp_g2,7,1.451722
73,-0.12273125757305277,21,141,l2,TRUE,es,f0u,0.75509375,lshift,2.198,1,1,exp_g2,7,1.44290625
73,-0.12273125757305277,22,142,l2,TRUE,es,f0u,0.73509375,rshift,3,1,1,exp_g2,7,2.26490625
73,-0.12273125757305277,23,143,l2,TRUE,es,f0u,1.55846875,lshift,3.342,1,1,exp_g2,7,1.78353125
73,-0.12273125757305277,24,144,l2,TRUE,es,f0u,0.69834375,rshift,2.368,1,1,exp_g2,7,1.66965625
73,-0.12273125757305277,25,145,l2,TRUE,es,f0u,0.825,lshift,2.264,1,1,exp_g2,7,1.439
73,-0.12273125757305277,26,146,l2,TRUE,es,f0u,1.63628125,rshift,3.342,1,1,exp_g2,7,1.70571875
73,-0.12273125757305277,27,147,l2,TRUE,es,f0u,1.025125,lshift,2.776,1,1,exp_g2,7,1.750875
73,-0.12273125757305277,28,148,l2,TRUE,es,f0u,0.739,rshift,2.226,1,1,exp_g2,7,1.487
73,-0.12273125757305277,29,149,l2,TRUE,es,f0u,1.2804375,lshift,2.587,1,1,exp_g2,7,1.3065625
73,-0.12273125757305277,30,150,l2,TRUE,es,f0u,0.82653125,rshift,2.506,1,1,exp_g2,7,1.67946875
91,0.02727361279401186,1,21,l2,TRUE,es,na,0.704021,lshift,2.007,1,0.9,exp_g2,9,1.302979
91,0.02727361279401186,2,22,l2,TRUE,es,na,0.863963,rshift,2.2127,1,0.9,exp_g2,9,1.348737
91,0.02727361279401186,3,23,l2,TRUE,es,na,0.806296,lshift,1.9942,1,0.9,exp_g2,9,1.187904
91,0.02727361279401186,4,24,l2,TRUE,es,na,0.817267,rshift,2.9091,1,0.9,exp_g2,9,2.091833
91,0.02727361279401186,5,25,l2,TRUE,es,na,0.909694,lshift,2.3718,1,0.9,exp_g2,9,1.462106
91,0.02727361279401186,6,26,l2,TRUE,es,na,0.977641,rshift,2.4206,1,0.9,exp_g2,9,1.442959
91,0.02727361279401186,7,27,l2,TRUE,es,na,0.619246,lshift,2.3225,1,0.9,exp_g2,9,1.703254
91,0.02727361279401186,8,28,l2,TRUE,es,na,0.937816,rshift,2.215,1,0.9,exp_g2,9,1.277184
91,0.02727361279401186,9,30,l2,TRUE,es,na,1.133667,rshift,2.6993,1,0.9,exp_g2,9,1.565633
91,0.02727361279401186,10,98,l2,FALSE,en,na,0.376142,rshift,2.0133,1,0.9,exp_g2,9,1.637158
