participant,lt_std,...1,num,list,cond,lang,type,mat_dur,exp_num,group,prof,cor_rate,rt_cs,rt_mat
86,-0.7977531742248436,10,30,l2,TRUE,es,na,1.133667,2,exp_g1,-2,0.633333333333333,1.01339999985697,1.23173299985695
86,-0.7977531742248436,11,161,l2,TRUE,es,f0c,0.75509375,2,exp_g1,-2,0.633333333333333,0.548200000047643,1.27770624995232
86,-0.7977531742248436,12,162,l2,TRUE,es,f0c,0.73509375,2,exp_g1,-2,0.633333333333333,0.412099999904626,1.24810625004765
86,-0.7977531742248436,13,163,l2,TRUE,es,f0c,1.55846875,2,exp_g1,-2,0.633333333333333,1.24729999995225,1.37583124995226
86,-0.7977531742248436,14,164,l2,TRUE,es,f0c,0.69834375,2,exp_g1,-2,0.633333333333333,0.46119999980931,1.18355624985696
86,-0.7977531742248436,15,165,l2,TRUE,es,f0c,0.825,2,exp_g1,-2,0.633333333333333,0.399400000095284,1.06040000009539
86,-0.7977531742248436,16,166,l2,TRUE,es,f0c,1.63628125,2,exp_g1,-2,0.633333333333333,1.40259999990462,1.11371875
86,-0.7977531742248436,17,167,l2,TRUE,es,f0c,1.025125,2,exp_g1,-2,0.633333333333333,0.169599999904676,1.68107499980931
86,-0.7977531742248436,18,168,l2,TRUE,es,f0c,0.739,2,exp_g1,-2,0.633333333333333,0.545200000047714,1.12179999995235
86,-0.7977531742248436,19,169,l2,TRUE,es,f0c,1.2804375,2,exp_g1,-2,0.633333333333333,0.641200000047661,0.797762500047673
42,1.002305270179932,1,21,l2,TRUE,es,na,0.704021,2,exp_g1,22,0.3,0.695099999994113,2.51397900000007
42,1.002305270179932,2,25,l2,TRUE,es,na,0.909694,2,exp_g1,22,0.3,0.434900000005996,2.65940600000897
42,1.002305270179932,3,28,l2,TRUE,es,na,0.937816,2,exp_g1,22,0.3,0.436300000011897,1.96498400001189
42,1.002305270179932,4,29,l2,TRUE,es,na,1.122001,2,exp_g1,22,0.3,1.14379999999699,2.74459899999404
42,1.002305270179932,5,30,l2,TRUE,es,na,1.133667,2,exp_g1,22,0.3,0.916500000000042,1.14993299999407
42,1.002305270179932,6,164,l2,TRUE,es,f0c,0.69834375,2,exp_g1,22,0.3,0.647299999997017,2.09965625
42,1.002305270179932,7,166,l2,TRUE,es,f0c,1.63628125,2,exp_g1,22,0.3,0.566900000005944,1.98011875000591
42,1.002305270179932,8,167,l2,TRUE,es,f0c,1.025125,2,exp_g1,22,0.3,0.696500000000015,2.65937500000007
42,1.002305270179932,9,168,l2,TRUE,es,f0c,0.739,2,exp_g1,22,0.3,0.418399999991038,2.21200000000002
74,0.777297964629335,1,11,l1,TRUE,es,na,0.944375,2,exp_g2,3,0.633333333333333,0.879500000000007,1.39102500000596
74,0.777297964629335,2,12,l1,TRUE,es,na,0.823703,2,exp_g2,3,0.633333333333333,1.08950000000004,1.49979699999997
74,0.777297964629335,3,13,l1,TRUE,es,na,1.352093,2,exp_g2,3,0.633333333333333,1.11839999999097,1.17340699999997
74,0.777297964629335,4,14,l1,TRUE,es,na,0.788685,2,exp_g2,3,0.633333333333333,0.350099999993973,1.59991499999397
74,0.777297964629335,5,16,l1,TRUE,es,na,1.694902,2,exp_g2,3,0.633333333333333,1.66859999999406,1.30839799999707
74,0.777297964629335,6,17,l1,TRUE,es,na,1.328805,2,exp_g2,3,0.633333333333333,1.04859999999405,1.23729499999409
74,0.777297964629335,7,18,l1,TRUE,es,na,0.900375,2,exp_g2,3,0.633333333333333,0.930000000000064,1.35542499999707
74,0.777297964629335,8,19,l1,TRUE,es,na,1.44153,2,exp_g2,3,0.633333333333333,0.998499999999922,1.27587000000591
74,0.777297964629335,9,20,l1,TRUE,es,na,0.99676,2,exp_g2,3,0.633333333333333,1.13279999999702,1.36853999999703
74,0.777297964629335,10,151,l1,TRUE,es,f0c,0.7884375,2,exp_g2,3,0.633333333333333,0.634799999997028,1.26356250000002
74,0.777297964629335,11,152,l1,TRUE,es,f0c,0.92128125,2,exp_g2,3,0.633333333333333,0.882099999994011,1.19561874999106
74,0.777297964629335,12,153,l1,TRUE,es,f0c,0.77825,2,exp_g2,3,0.633333333333333,0.87029999999703,1.39264999999109
74,0.777297964629335,13,154,l1,TRUE,es,f0c,0.91259375,2,exp_g2,3,0.633333333333333,1.05129999999701,1.40550624999405
74,0.777297964629335,14,155,l1,TRUE,es,f0c,0.8595,2,exp_g2,3,0.633333333333333,0.858400000005929,1.4075
74,0.777297964629335,15,156,l1,TRUE,es,f0c,0.974875,2,exp_g2,3,0.633333333333333,0.832600000008938,1.29162500000001
74,0.777297964629335,16,157,l1,TRUE,es,f0c,0.635125,2,exp_g2,3,0.633333333333333,0.532199999988052,1.34987499999996
74,0.777297964629335,17,158,l1,TRUE,es,f0c,0.9708125,2,exp_g2,3,0.633333333333333,1.03259999999409,1.34658749999104
74,0.777297964629335,18,159,l1,TRUE,es,f0c,1.1799375,2,exp_g2,3,0.633333333333333,1.08309999999403,1.34056249999997
74,0.777297964629335,19,160,l1,TRUE,es,f0c,1.108625,2,exp_g2,3,0.633333333333333,1.05270000000303,1.31617499999705
33,0.2522809183446088,1,11,l1,TRUE,es,na,0.944375,2,exp_g2,12,0.633333333333333,0.983000000000004,1.57322500000053
33,0.2522809183446088,2,12,l1,TRUE,es,na,0.823703,2,exp_g2,12,0.633333333333333,0.372100000000557,1.33219700000037
33,0.2522809183446088,3,13,l1,TRUE,es,na,1.352093,2,exp_g2,12,0.633333333333333,0.252700000000232,1.28930700000043
33,0.2522809183446088,4,14,l1,TRUE,es,na,0.788685,2,exp_g2,12,0.633333333333333,0.649299999999812,1.33821499999941
33,0.2522809183446088,5,15,l1,TRUE,es,na,0.882114,2,exp_g2,12,0.633333333333333,0.338900000000421,1.3079860000006
33,0.2522809183446088,6,16,l1,TRUE,es,na,1.694902,2,exp_g2,12,0.633333333333333,1.39939999999945,1.23939799999984
33,0.2522809183446088,7,18,l1,TRUE,es,na,0.900375,2,exp_g2,12,0.633333333333333,0.643500000000017,1.38412499999998
33,0.2522809183446088,8,19,l1,TRUE,es,na,1.44153,2,exp_g2,12,0.633333333333333,1.2492000000002,1.24537000000038
33,0.2522809183446088,9,20,l1,TRUE,es,na,0.99676,2,exp_g2,12,0.633333333333333,0.832299999999805,1.38573999999994
33,0.2522809183446088,10,141,l2,TRUE,es,f0u,0.75509375,2,exp_g2,12,0.633333333333333,0.598999999999933,1.24980625000036
33,0.2522809183446088,11,142,l2,TRUE,es,f0u,0.73509375,2,exp_g2,12,0.633333333333333,0.634400000000369,1.33120624999979
33,0.2522809183446088,12,143,l2,TRUE,es,f0u,1.55846875,2,exp_g2,12,0.633333333333333,0.617999999999995,1.49203125
33,0.2522809183446088,13,144,l2,TRUE,es,f0u,0.69834375,2,exp_g2,12,0.633333333333333,0.482400000000382,1.43605625000037
33,0.2522809183446088,14,145,l2,TRUE,es,f0u,0.825,2,exp_g2,12,0.633333333333333,0.434199999999237,1.26069999999924
33,0.2522809183446088,15,146,l2,TRUE,es,f0u,1.63628125,2,exp_g2,12,0.633333333333333,1.3167000000002,1.21531875000053
33,0.2522809183446088,16,147,l2,TRUE,es,f0u,1.025125,2,exp_g2,12,0.633333333333333,0.792099999999664,1.20947499999966
33,0.2522809183446088,17,148,l2,TRUE,es,f0u,0.739,2,exp_g2,12,0.633333333333333,0.665799999999876,1.34379999999979
33,0.2522809183446088,18,149,l2,TRUE,es,f0u,1.2804375,2,exp_g2,12,0.633333333333333,0.733399999999392,1.23746249999949
33,0.2522809183446088,19,150,l2,TRUE,es,f0u,0.82653125,2,exp_g2,12,0.633333333333333,0.819400000000371,1.27466875000018
54,-0.047728822389520455,1,11,l1,TRUE,es,na,0.944375,2,exp_g2,8,0.633333333333333,0.899499999999989,1.5242249999997
54,-0.047728822389520455,2,12,l1,TRUE,es,na,0.823703,2,exp_g2,8,0.633333333333333,0.867599999999812,1.49529700000019
54,-0.047728822389520455,3,13,l1,TRUE,es,na,1.352093,2,exp_g2,8,0.633333333333333,1.37400000000002,1.522907
54,-0.047728822389520455,4,14,l1,TRUE,es,na,0.788685,2,exp_g2,8,0.633333333333333,0.529100000000653,1.4452150000004
54,-0.047728822389520455,5,15,l1,TRUE,es,na,0.882114,2,exp_g2,8,0.633333333333333,0.366300000000819,1.40168600000084
54,-0.047728822389520455,6,16,l1,TRUE,es,na,1.694902,2,exp_g2,8,0.633333333333333,1.45179999999982,1.38919799999958
54,-0.047728822389520455,7,17,l1,TRUE,es,na,1.328805,2,exp_g2,8,0.633333333333333,0.765499999999974,1.32029500000054
54,-0.047728822389520455,8,18,l1,TRUE,es,na,0.900375,2,exp_g2,8,0.633333333333333,0.265799999999899,1.85162500000018
54,-0.047728822389520455,9,19,l1,TRUE,es,na,1.44153,2,exp_g2,8,0.633333333333333,1.3734000000004,1.33337000000034
