num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,cs,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp1_trial_key.started,exp1_trial_sound.started,exp1_trial_key.keys,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_sound.started,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,exp2_key.started,exp2_sound.started,exp2_key.keys,exp2_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
84.0,l1,f,se,na,../audio/084.wav,,l1_f_se_na_084,,,,,,,../image/penthouse.png,../image/rocket.png,penthouse,lshift,1,penthouse,rocket,penthouse,rocket,None,,,,,,,,,,0,1,1,23,,,,,,,,,,,,,,,,164.9740545420209,lshift,1,2.96652841597097,165.95159987465402,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
95.0,l1,f,sp,na,../audio/095.wav,,l1_f_sp_na_095,,,,,,,../image/socks.png,../image/key.png,key,rshift,1,key,socks,socks,key,None,,,,,,,,,,0,2,2,34,,,,,,,,,,,,,,,,167.9903577080113,lshift,0,2.548171416972764,168.95309474965714,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
65.0,l1,f,en,na,../audio/065.wav,,l1_f_en_na_065,,,,,,,../image/computer.png,../image/book.png,book,rshift,1,book,computer,computer,book,None,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,170.59568066702923,rshift,1,1.9228499999735504,171.55043229164247,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
137.0,l1,t,es,f0u,../audio/137.wav,,l1_t_es_f0u_137,,,,,,,../image/jacket.png,../image/shirt.png,jacket,lshift,1,jacket,shirt,jacket,shirt,None,,,,,,,,,,0,4,4,51,,,,,,,,,,,,,,,,172.5725666669896,lshift,1,2.4511260419385508,173.53680637467576,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
85.0,l1,f,se,na,../audio/085.wav,,l1_f_se_na_085,,,,,,,../image/loafers.png,../image/sneakers.png,sneakers,rshift,1,sneakers,loafers,loafers,sneakers,None,,,,,,,,,,0,5,5,24,,,,,,,,,,,,,,,,175.07848620798904,rshift,1,3.1683052919688635,176.0322924166724,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
77.0,l1,f,se,na,../audio/077.wav,,l1_f_se_na_077,,,,,,,../image/mashedpotatoes.png,../image/donut.png,donut,rshift,1,donut,mashedpotatoes,mashedpotatoes,donut,None,,,,,,,,,,0,6,6,16,,,,,,,,,,,,,,,,178.30000379198464,rshift,1,2.141757583944127,179.2628044996566,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
132.0,l1,t,es,f0u,../audio/132.wav,,l1_t_es_f0u_132,,,,,,,../image/car.png,../image/grandma.png,grandma,rshift,1,grandma,car,car,grandma,None,,,,,,,,,,0,7,7,46,,,,,,,,,,,,,,,,180.49293520802166,rshift,1,2.5664760419749655,181.45363916666636,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
81.0,l1,f,se,na,../audio/081.wav,,l1_f_se_na_081,,,,,,,../image/boxers.png,../image/sweatpants.png,sweatpants,rshift,1,sweatpants,boxers,boxers,sweatpants,None,,,,,,,,,,0,8,8,20,,,,,,,,,,,,,,,,183.10839245800162,rshift,1,2.827930374944117,184.07007616665604,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
73.0,l1,f,en,na,../audio/073.wav,,l1_f_en_na_073,,,,,,,../image/socks.png,../image/tshirt.png,tshirt,rshift,1,tshirt,socks,socks,tshirt,None,,,,,,,,,,0,9,9,12,,,,,,,,,,,,,,,,185.9822874580277,rshift,1,2.436679832986556,186.9468011666943,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
14.0,l1,t,es,na,../audio/014.wav,,l1_t_es_na_014,,,,,,,../image/book.png,../image/key.png,key,rshift,1,key,book,book,key,None,,,,,,,,,,0,10,10,38,,,,,,,,,,,,,,,,188.465640874987,rshift,1,2.584300499933306,189.4299190416971,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
