num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,cs,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp1_trial_key.started,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_sound.started,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,exp2_key.started,exp2_sound.started,exp2_key.keys,exp2_key.rt,participant,session,date,expName,psychopyVersion,frameRate
95,l1,f,sp,na,../audio/095.wav,,l1_f_sp_na_095,,,,,,,../image/socks.png,../image/key.png,key,rshift,1,key,socks,socks,key,None,,,,,,,,,,0,25,25,34,,,,,,,,,,,,,,,,,106.6524802,rshift,1,2.114414083,107.6161449,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
84,l1,f,se,na,../audio/084.wav,,l1_f_se_na_084,,,,,,,../image/penthouse.png,../image/rocket.png,penthouse,lshift,1,penthouse,rocket,penthouse,rocket,None,,,,,,,,,,0,26,26,23,,,,,,,,,,,,,,,,,108.8152994,lshift,1,2.789874708,109.7814109,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
78,l1,f,se,na,../audio/078.wav,,l1_f_se_na_078,,,,,,,../image/airpods.png,../image/joycons.png,airpods,lshift,1,airpods,joycons,airpods,joycons,None,,,,,,,,,,0,27,27,17,,,,,,,,,,,,,,,,,111.6418675,lshift,1,2.17911875,112.6062215,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
92,l1,f,sp,na,../audio/092.wav,,l1_f_sp_na_092,,,,,,,../image/armchair.png,../image/dog.png,armchair,lshift,1,armchair,dog,armchair,dog,None,,,,,,,,,,0,28,28,31,,,,,,,,,,,,,,,,,113.8683626,rshift,0,2.482131917,114.8310884,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
68,l1,f,en,na,../audio/068.wav,,l1_f_en_na_068,,,,,,,../image/socks.png,../image/book.png,socks,lshift,1,socks,book,socks,book,None,,,,,,,,,,0,29,29,7,,,,,,,,,,,,,,,,,116.3955983,lshift,1,2.371385541,117.3554743,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
139,l1,t,es,f0u,../audio/139.wav,,l1_t_es_f0u_139,,,,,,,../image/restaurant.png,../image/hotel.png,restaurant,lshift,1,restaurant,hotel,restaurant,hotel,None,,,,,,,,,,0,30,30,53,,,,,,,,,,,,,,,,,118.8184215,lshift,1,2.706876999,119.7815094,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
136,l1,t,es,f0u,../audio/136.wav,,l1_t_es_f0u_136,,,,,,,../image/city.png,../image/village.png,village,rshift,1,village,city,city,village,None,,,,,,,,,,0,31,31,50,,,,,,,,,,,,,,,,,121.5767431,rshift,1,2.894369542,122.5376671,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
13,l1,t,es,na,../audio/013.wav,,l1_t_es_na_013,,,,,,,../image/beer.png,../image/wine.png,beer,lshift,1,beer,wine,beer,wine,None,,,,,,,,,,0,32,32,37,,,,,,,,,,,,,,,,,124.5128171,lshift,1,2.792316416,125.472939,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
89,l1,f,sp,na,../audio/089.wav,,l1_f_sp_na_089,,,,,,,../image/bed.png,../image/wallet.png,wallet,rshift,1,wallet,bed,bed,wallet,None,,,,,,,,,,0,33,33,28,,,,,,,,,,,,,,,,,127.3514468,rshift,1,2.906676208,128.3155476,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
16,l1,t,es,na,../audio/016.wav,,l1_t_es_na_016,,,,,,,../image/flipflops.png,../image/bag.png,bag,rshift,1,bag,flipflops,flipflops,bag,None,,,,,,,,,,0,34,34,40,,,,,,,,,,,,,,,,,130.3082316,rshift,1,3.141361833,131.271958,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
