num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,cs,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp1_trial_cross.started,exp1_trial_key.started,exp1_trial_cross.stopped,exp1_trial_sound.started,exp1_trial_key.stopped,exp1_trial_key.keys,exp1_cross.started,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_cross.stopped,exp1_sound.started,exp1_key.stopped,exp2_trial_cross.started,exp2_trial_key.started,exp2_trial_cross.stopped,exp2_trial_sound.started,exp2_trial_key.stopped,exp2_trial_key.keys,exp2_trial_key.rt,exp2_cross.started,exp2_key.started,exp2_cross.stopped,exp2_sound.started,exp2_key.stopped,exp2_key.keys,exp2_key.rt,participant,session,date,expName,psychopyVersion,frameRate
146,l2,t,es,f0u,../audio/146.wav,,l2_t_es_f0u_146,,,,,,,../image/cellphone.png,../image/flipflops.png,flipflops,rshift,1,flipflops,cellphone,cellphone,flipflops,None,,,,,,,,,,0,31,31,50,,,,,,,,,,,,,,,,,,,252.970993,253.2013737,rshift,1,[3.022894666995853],253.2184121,253.9530348,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
129,l2,f,sp,na,../audio/129.wav,,l2_f_sp_na_129,,,,,,,../image/bag.png,../image/chair.png,bag,lshift,1,bag,chair,bag,chair,None,,,,,,,,,,0,32,32,33,,,,,,,,,,,,,,,,,,,256.2707032,256.4692802,lshift,1,[2.9326957910088822],256.5198492,257.2299334,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
120,l2,f,se,na,../audio/120.wav,,l2_f_se_na_120,,,,,,,../image/glasses.png,../image/joycons.png,joycons,rshift,1,joycons,glasses,glasses,joycons,None,,,,,,,,,,0,33,33,24,,,,,,,,,,,,,,,,,,,259.4418337,259.6536044,None,0,,259.6862365,260.4035611,264.6917574,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
113,l2,f,se,na,../audio/113.wav,,l2_f_se_na_113,,,,,,,../image/loafers.png,../image/sneakers.png,loafers,lshift,1,loafers,sneakers,loafers,sneakers,None,,,,,,,,,,0,34,34,17,,,,,,,,,,,,,,,,,,,264.6917574,264.9033679,lshift,1,[2.182897667051293],264.9364412,265.6532935,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
109,l2,f,en,na,../audio/109.wav,,l2_f_en_na_109,,,,,,,../image/fish.png,../image/woman.png,fish,lshift,1,fish,woman,fish,woman,None,,,,,,,,,,0,35,35,13,,,,,,,,,,,,,,,,,,,267.1395894,267.3466138,lshift,1,[1.6614575830753893],267.384619,268.1026666,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
124,l2,f,sp,na,../audio/124.wav,,l2_f_sp_na_124,,,,,,,../image/bag.png,../image/bed.png,bed,rshift,1,bed,bag,bag,bed,None,,,,,,,,,,0,36,36,28,,,,,,,,,,,,,,,,,,,269.058329,269.2633186,rshift,1,[2.1602754169143736],269.3028256,270.020685,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
115,l2,f,se,na,../audio/115.wav,,l2_f_se_na_115,,,,,,,../image/notebook.png,../image/cellphone.png,notebook,lshift,1,notebook,cellphone,notebook,cellphone,None,,,,,,,,,,0,37,37,19,,,,,,,,,,,,,,,,,,,271.4725236,271.6794983,lshift,1,[2.145945332944393],271.7202636,272.4364727,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
141,l2,t,es,f0u,../audio/141.wav,,l2_t_es_f0u_141,,,,,,,../image/dog.png,../image/backpack.png,dog,lshift,1,dog,backpack,dog,backpack,None,,,,,,,,,,0,38,38,45,,,,,,,,,,,,,,,,,,,273.8754472,274.0793874,lshift,1,[2.043692750041373],274.1196582,274.8364149,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
22,l2,t,es,na,../audio/022.wav,,l2_t_es_na_022,,,,,,,../image/dog.png,../image/cat.png,cat,rshift,1,cat,dog,dog,cat,None,,,,,,,,,,0,39,39,36,,,,,,,,,,,,,,,,,,,276.1740557,276.3800503,rshift,1,[2.0187132919672877],276.420089,277.1356661,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
24,l2,t,es,na,../audio/024.wav,,l2_t_es_na_024,,,,,,,../image/bed.png,../image/jug.png,jug,rshift,1,jug,bed,bed,jug,None,,,,,,,,,,0,40,40,38,,,,,,,,,,,,,,,,,,,278.4459688,278.6460268,None,0,,278.6863998,279.4024855,283.6755849,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
