num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,cs,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp1_trial_cross.started,exp1_trial_key.started,exp1_trial_cross.stopped,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_cross.started,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_cross.stopped,exp1_sound.started,exp2_trial_cross.started,exp2_trial_key.started,exp2_trial_cross.stopped,exp2_trial_sound.started,exp2_trial_key.stopped,exp2_trial_key.keys,exp2_trial_key.rt,exp2_cross.started,exp2_key.started,exp2_cross.stopped,exp2_sound.started,exp2_key.stopped,exp2_key.keys,exp2_key.rt,participant,session,date,expName,psychopyVersion,frameRate
67,l1,f,en,na,../audio/067.wav,,l1_f_en_na_067,,,,,,,../image/beer.png,../image/glasses.png,glasses,rshift,1,glasses,beer,beer,glasses,None,,,,,,,,,,0,22,22,6,,,,,,,,,,,,,,,,,,,105.875022,106.0878362,rshift,1,2.260177334,106.118939,106.8472217,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
65,l1,f,en,na,../audio/065.wav,,l1_f_en_na_065,,,,,,,../image/computer.png,../image/book.png,book,rshift,1,book,computer,computer,book,None,,,,,,,,,,0,23,23,4,,,,,,,,,,,,,,,,,,,108.3956079,108.604238,rshift,1,1.759753625,108.6353288,109.3638925,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
16,l1,t,es,na,../audio/016.wav,,l1_t_es_na_016,,,,,,,../image/flipflops.png,../image/bag.png,bag,rshift,1,bag,flipflops,flipflops,bag,None,,,,,,,,,,0,24,24,40,,,,,,,,,,,,,,,,,,,110.404547,110.6133444,rshift,1,2.96313275,110.6471878,111.3706744,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
19,l1,t,es,na,../audio/019.wav,,l1_t_es_na_019,,,,,,,../image/boy.png,../image/dog.png,boy,lshift,1,boy,dog,boy,dog,None,,,,,,,,,,0,25,25,43,,,,,,,,,,,,,,,,,,,113.6222145,113.8201884,lshift,1,2.820578292,113.8693981,114.5804177,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
17,l1,t,es,na,../audio/017.wav,,l1_t_es_na_017,,,,,,,../image/jug.png,../image/cat.png,jug,lshift,1,jug,cat,jug,cat,None,,,,,,,,,,0,26,26,41,,,,,,,,,,,,,,,,,,,116.6886369,116.8866876,lshift,1,2.770569625,116.9365594,117.6470239,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
93,l1,f,sp,na,../audio/093.wav,,l1_f_sp_na_093,,,,,,,../image/boy.png,../image/book.png,book,rshift,1,book,boy,boy,book,None,,,,,,,,,,0,27,27,32,,,,,,,,,,,,,,,,,,,119.7084497,119.914031,rshift,1,1.750857,119.9534869,120.6698794,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
15,l1,t,es,na,../audio/015.wav,,l1_t_es_na_015,,,,,,,../image/glasses.png,../image/jacket.png,glasses,lshift,1,glasses,jacket,glasses,jacket,None,,,,,,,,,,0,28,28,39,,,,,,,,,,,,,,,,,,,121.7136995,121.9203768,lshift,1,2.18238775,121.9525607,122.679909,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
68,l1,f,en,na,../audio/068.wav,,l1_f_en_na_068,,,,,,,../image/socks.png,../image/book.png,socks,lshift,1,socks,book,socks,book,None,,,,,,,,,,0,29,29,7,,,,,,,,,,,,,,,,,,,124.1414272,124.3535152,lshift,1,3.084914917,124.3864367,125.113199,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
137,l1,t,es,f0u,../audio/137.wav,,l1_t_es_f0u_137,,,,,,,../image/jacket.png,../image/shirt.png,jacket,lshift,1,jacket,shirt,jacket,shirt,None,,,,,,,,,,0,30,30,51,,,,,,,,,,,,,,,,,,,127.4893394,127.6969132,lshift,1,2.588040458,127.73581,128.4531491,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
83,l1,f,se,na,../audio/083.wav,,l1_f_se_na_083,,,,,,,../image/donut.png,../image/burger.png,burger,rshift,1,burger,donut,donut,burger,None,,,,,,,,,,0,31,31,22,,,,,,,,,,,,,,,,,,,130.3358469,130.536692,rshift,1,2.065765667,130.5796608,131.2969648,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
